Elapsed Time (s),Value
0.001,1.15
0.001,1.03
0.001,1.02
0.002,1.02
0.002,1.01
0.004,1.0
0.007,0.98
0.015,1.04
0.018,1.05
0.025,0.99
0.027,0.98
0.034,1.01
0.040,1.03
0.043,0.99
0.049,0.97
0.053,1.15
0.058,1.16
0.065,1.03
0.069,1.02
0.075,1.02
0.080,1.01
0.084,1.01
0.090,1.02
0.092,1.12
0.098,1.15
0.103,1.03
0.109,1.02
0.115,1.03
0.119,1.03
0.125,1.02
0.130,1.16
0.134,1.16
0.138,1.18
0.142,1.05
0.150,1.02
0.153,1.02
0.160,1.04
0.164,1.1
0.170,1.06
0.172,1.23
0.180,1.19
0.185,1.04
0.187,1.04
0.193,1.07
0.200,1.03
0.204,1.08
0.207,1.02
0.215,1.2
0.220,1.23
0.223,1.06
0.230,1.06
0.235,1.05
0.239,1.06
0.242,1.05
0.250,1.09
0.252,1.21
0.258,1.21
0.264,1.06
0.268,1.07
0.274,1.04
0.280,1.1
0.284,1.11
0.289,1.08
0.295,1.16
0.300,1.21
0.304,1.13
0.307,1.01
0.315,1.04
0.319,1.01
0.324,1.07
0.330,1.08
0.335,1.13
0.337,1.14
0.343,1.07
0.350,1.06
0.354,1.06
0.357,1.11
0.364,1.1
0.369,1.19
0.372,1.17
0.380,1.23
0.385,1.05
0.387,0.99
0.394,1.03
0.401,1.05
0.403,1.01
0.407,1.04
0.415,1.11
0.420,1.21
0.422,1.06
0.429,1.29
0.435,1.07
0.440,1.22
0.445,1.08
0.450,1.01
0.454,1.1
0.457,1.1
0.465,1.02
0.470,1.02
0.472,1.03
0.480,1.06
0.485,1.03
0.489,1.03
0.492,1.07
0.500,1.08
0.502,1.01
0.510,0.99
0.515,1.02
0.520,1.05
0.524,1.02
0.530,1.01
0.535,1.09
0.539,1.08
0.545,1.02
0.550,1.03
0.553,1.04
0.558,1.03
0.565,1.01
0.569,1.07
0.573,1.05
0.579,1.07
0.585,1.06
0.589,1.1
0.592,1.14
0.600,1.04
0.605,1.08
0.607,1.02
0.615,1.05
0.619,1.07
0.624,1.03
0.630,1.0
0.634,1.1
0.637,1.2
0.644,1.12
0.650,1.05
0.652,1.12
0.657,1.12
0.665,1.03
0.666,1.02
0.675,1.18
0.679,1.06
0.682,1.09
0.687,1.12
0.695,1.07
0.700,1.1
0.702,1.05
0.709,1.0
0.715,1.05
0.719,1.06
0.725,1.0
0.729,1.02
0.734,1.08
0.740,1.11
0.742,1.08
0.750,1.01
0.754,1.01
0.756,1.02
0.765,1.11
0.770,1.05
0.771,1.06
0.779,1.08
0.783,1.06
0.789,0.99
0.791,1.08
0.800,1.11
0.805,1.0
0.809,1.03
0.814,1.02
0.819,1.08
0.825,1.11
0.830,1.02
0.833,1.02
0.839,1.05
0.843,1.03
0.850,1.09
0.851,1.05
0.858,1.15
0.865,1.1
0.869,1.01
0.871,0.99
0.879,1.02
0.885,1.1
0.887,1.09
0.893,1.02
0.899,1.16
0.903,1.06
0.907,0.99
0.915,1.0
0.919,1.02
0.922,1.03
0.929,1.09
0.933,1.02
0.938,1.15
0.942,1.05
0.950,0.99
0.955,0.99
0.960,1.02
0.965,1.13
0.969,1.02
0.972,1.02
0.980,1.08
0.985,1.06
0.987,0.98
0.993,1.01
1.000,1.02
1.003,1.02
1.008,1.02
1.014,1.26
1.020,1.28
1.024,1.15
1.030,1.02
1.034,1.02
1.039,1.02
1.045,1.16
1.049,1.1
1.054,1.02
1.060,1.28
1.065,1.19
1.069,1.03
1.074,1.03
1.080,1.29
1.084,1.16
1.089,1.12
1.094,1.29
1.098,1.28
1.104,1.18
1.109,1.02
1.115,1.03
1.119,1.03
1.124,1.16
1.129,1.17
1.135,1.04
1.140,1.29
1.144,1.08
1.149,0.99
1.154,0.99
1.160,1.26
1.165,1.16
1.169,1.08
1.175,1.12
1.180,1.13
1.184,1.1
1.190,1.12
1.195,1.22
1.200,1.09
1.204,1.15
1.207,1.03
1.214,1.02
1.217,1.25
1.224,1.18
1.229,1.03
1.235,1.09
1.239,1.27
1.245,1.16
1.251,1.02
1.253,1.18
1.257,1.26
1.264,1.17
1.269,1.02
1.274,1.02
1.280,1.03
