Elapsed Time (s),Value
0.000,1.19
0.001,1.21
0.001,1.22
0.002,1.14
0.003,1.24
0.003,1.06
0.004,1.03
0.010,1.17
0.016,1.19
0.021,1.15
0.025,1.25
0.028,1.28
0.036,1.29
0.039,1.28
0.044,1.27
0.050,1.15
0.056,1.23
0.060,1.0
0.066,1.0
0.071,1.18
0.076,1.19
0.081,1.24
0.085,1.1
0.089,1.15
0.096,1.21
0.100,1.2
0.105,1.14
0.111,1.14
0.115,1.12
0.120,1.05
0.126,1.05
0.129,1.19
0.143,1.18
0.144,1.2
0.145,1.09
0.150,1.13
0.150,1.06
0.150,1.07
0.167,1.07
0.167,1.13
0.167,1.11
0.179,1.17
0.184,1.0
0.184,1.12
0.184,0.98
0.200,1.15
0.202,1.14
0.202,1.09
0.215,1.13
0.219,1.14
0.219,1.13
0.219,1.11
0.234,1.11
0.240,1.17
0.244,1.05
0.249,1.07
0.252,1.1
0.258,1.15
0.258,1.07
0.270,1.05
0.273,1.01
0.277,1.04
0.284,1.07
0.287,1.05
0.295,1.07
0.300,1.1
0.302,1.06
0.310,1.05
0.315,1.07
0.320,1.09
0.323,1.09
0.327,1.07
0.335,1.07
0.340,1.01
0.344,1.12
0.350,1.06
0.355,1.15
0.358,1.19
0.366,1.12
0.370,1.08
0.373,1.12
0.378,1.15
0.385,1.15
0.387,1.05
0.394,1.19
0.400,1.02
0.404,1.11
0.407,1.08
0.416,1.15
0.421,1.23
0.422,1.1
0.428,1.06
0.435,1.16
0.438,1.15
0.445,1.13
0.450,1.04
0.455,1.16
0.457,1.21
0.466,1.13
0.470,1.01
0.473,1.15
0.478,1.21
0.485,1.12
0.487,1.06
0.494,1.1
0.500,1.22
0.503,1.13
0.510,1.08
0.516,1.14
0.520,1.12
0.522,1.08
0.528,1.05
0.535,1.1
0.538,1.12
0.543,1.0
0.550,1.06
0.554,1.12
0.558,1.1
0.566,1.05
0.570,1.04
0.574,1.04
0.580,1.11
0.585,1.08
0.590,1.06
0.595,1.07
0.600,1.12
0.606,1.08
0.608,1.04
0.615,1.07
0.619,0.99
0.622,1.09
0.630,1.06
0.635,1.1
0.637,0.99
0.645,0.98
0.650,0.98
0.655,0.98
0.660,1.16
0.665,1.1
0.670,0.99
0.672,0.99
0.677,1.0
0.685,0.99
0.690,0.98
0.692,0.99
0.701,1.19
0.705,1.1
0.710,0.99
0.715,0.99
0.720,1.0
0.725,0.98
0.727,0.99
0.734,0.99
0.739,1.03
0.745,1.01
0.751,0.98
0.755,0.97
0.757,0.98
0.765,0.98
0.770,0.98
0.775,0.98
0.776,1.13
0.785,1.12
0.790,0.98
0.793,0.98
0.799,0.98
0.804,0.97
0.810,0.99
0.815,0.97
0.820,1.19
0.822,1.08
0.828,0.97
0.835,0.97
0.839,0.97
0.842,0.97
0.850,0.98
0.855,0.97
0.860,1.16
0.865,1.09
0.870,0.98
0.871,0.98
0.878,0.98
0.885,1.0
0.887,1.06
0.893,0.97
0.900,1.14
0.905,1.07
0.907,1.04
0.913,0.97
0.918,0.97
0.922,0.97
0.928,0.97
0.936,0.97
0.937,1.13
0.945,1.11
0.951,0.98
0.954,0.97
0.957,0.99
0.963,1.0
0.970,0.97
0.971,0.97
0.980,1.14
0.985,1.06
0.987,0.97
0.992,0.96
1.000,0.96
1.002,0.97
1.008,0.96
1.013,0.95
1.016,1.09
1.022,1.06
1.028,0.97
1.034,0.97
1.039,0.98
1.042,0.96
1.050,1.02
1.054,1.08
1.057,1.0
1.065,1.1
1.069,1.04
1.071,1.09
1.080,1.11
1.084,0.98
1.090,0.97
1.094,0.97
1.099,1.17
1.104,1.09
1.109,0.98
1.114,0.97
1.120,0.98
1.125,0.97
1.129,0.98
1.135,0.99
1.139,1.17
1.144,1.15
1.149,1.05
1.155,1.06
1.159,1.12
1.165,1.1
1.170,1.03
1.175,1.1
1.180,1.18
1.184,1.08
1.190,1.05
1.195,1.09
1.200,1.09
1.205,1.07
1.210,0.99
1.214,1.07
1.219,1.11
1.225,1.09
1.230,0.97
1.235,0.96
1.240,0.96
1.244,1.04
1.249,1.01
1.255,0.97
1.260,1.11
1.265,1.05
1.270,0.98
1.275,0.96
1.280,0.97
1.285,0.96
1.289,0.99
1.295,1.06
1.300,1.11
1.304,1.09
1.310,0.96
1.314,0.97
1.319,1.0
1.324,0.98
1.330,1.03
1.334,1.08
1.340,1.18
1.344,1.07
1.350,1.02
1.355,1.08
1.360,1.07
1.365,1.07
1.369,0.99
1.375,1.08
1.379,1.2
1.384,1.13
1.390,1.05
1.395,1.09
1.399,1.11
1.405,1.08
1.410,1.04
1.415,1.05
1.419,1.13
1.422,1.11
1.426,0.98
1.434,0.98
1.436,0.98
1.442,1.06
1.450,1.01
1.453,1.07
1.457,1.02
1.461,1.01
1.469,1.04
1.471,1.08
1.478,1.1
1.484,1.06
1.489,1.05
1.492,1.11
1.499,1.16
1.504,1.14
1.507,1.06
1.511,1.06
1.520,1.05
1.522,1.03
1.527,0.99
1.535,1.02
1.539,1.09
1.544,1.07
1.550,1.0
1.554,1.02
1.557,1.02
1.561,1.01
1.570,1.0
1.572,1.01
1.577,1.21
1.584,1.07
1.589,1.05
1.594,1.0
1.600,1.09
1.603,1.02
1.608,1.02
1.611,1.01
1.620,1.08
1.622,1.02
1.628,1.0
1.634,1.02
1.639,1.07
1.642,1.1
1.650,1.03
1.655,0.98
1.657,1.01
1.662,1.12
1.670,1.04
1.671,1.09
1.676,1.09
1.685,1.07
1.689,1.02
1.691,1.05
1.700,1.07
1.704,1.03
1.708,1.04
1.713,1.07
1.719,1.09
1.723,1.09
1.728,1.0
1.735,1.01
1.737,1.07
1.742,1.15
1.750,1.04
1.755,1.09
1.757,1.09
1.761,1.09
1.769,1.01
1.772,1.03
1.778,1.15
1.784,1.12
1.787,1.06
1.792,1.12
1.800,1.15
1.804,1.07
1.806,1.02
1.814,0.98
1.819,1.0
1.822,1.13
1.827,1.07
1.834,1.14
1.838,1.17
1.842,1.15
1.848,1.06
1.854,1.05
1.857,1.12
1.862,1.15
1.869,1.08
1.871,1.15
1.876,1.16
1.883,1.2
1.889,1.09
1.891,1.11
1.898,1.2
1.903,1.12
1.907,1.07
1.912,1.12
1.919,1.12
1.921,1.14
1.927,1.08
1.933,1.11
1.937,1.14
1.942,1.16
1.948,1.1
1.954,1.2
1.957,1.18
1.964,1.22
1.969,1.07
1.972,0.98
1.977,1.0
1.983,1.19
1.989,1.1
1.991,1.2
1.999,1.2
2.003,1.2
2.006,1.1
2.012,1.1
2.019,1.18
2.021,1.2
2.029,1.09
2.034,1.17
2.038,1.19
2.044,1.19
2.049,1.09
2.052,1.1
2.059,1.2
2.062,1.18
2.069,1.1
2.071,0.98
2.077,0.98
2.084,1.1
2.087,1.07
2.092,1.05
2.099,1.2
2.103,1.16
2.108,1.09
2.113,1.18
2.119,1.19
2.122,1.19
2.127,1.08
2.134,1.05
2.138,0.98
2.143,1.1
2.150,1.06
2.153,1.11
2.156,1.11
2.161,1.13
2.169,1.06
2.171,1.03
2.179,1.11
2.184,1.09
2.187,1.05
2.192,1.09
2.198,0.98
2.204,1.12
2.207,1.0
2.211,1.08
2.219,1.13
2.222,1.14
2.228,1.08
2.234,1.13
2.237,1.26
2.243,1.15
2.248,1.06
2.252,1.06
2.256,1.24
2.262,1.2
2.269,1.12
2.271,1.24
2.277,1.01
2.284,1.28
2.286,1.09
2.293,1.09
2.299,1.28
2.303,1.26
2.307,1.13
2.311,1.24
2.319,1.18
2.321,1.2
2.326,1.12
2.333,0.99
2.339,1.27
2.342,1.24
2.349,1.11
2.353,1.24
2.359,1.02
2.362,1.26
2.369,1.08
2.374,1.08
2.377,1.14
2.384,1.13
2.389,1.09
2.391,1.13
2.399,1.17
2.404,1.13
2.406,1.08
2.413,1.07
2.419,1.12
2.424,1.22
2.429,1.11
2.435,1.21
2.438,1.21
2.442,1.22
2.448,1.1
2.454,1.12
2.456,1.01
2.462,1.22
2.469,1.1
2.474,1.2
2.477,1.2
2.484,1.21
2.489,1.1
2.491,1.09
2.499,1.19
2.503,1.19
2.507,1.1
2.514,1.18
2.518,1.15
2.523,1.2
2.527,1.09
2.534,0.99
2.538,1.17
2.542,1.2
2.549,1.03
2.554,1.05
2.559,1.05
2.563,1.05
2.568,1.03
2.573,1.07
2.576,1.16
2.584,1.07
2.587,1.04
2.594,0.97
2.598,1.18
2.604,1.07
2.606,1.04
2.613,0.97
2.619,1.11
2.622,1.11
2.628,1.09
2.633,1.11
2.639,1.14
2.641,1.09
2.650,1.08
2.654,1.04
2.656,1.18
2.662,1.05
2.669,1.05
2.672,1.1
2.676,1.07
2.684,1.08
2.689,1.01
2.691,0.97
2.698,1.21
2.703,1.0
2.706,1.05
2.713,1.22
2.718,1.23
2.723,1.1
2.726,1.04
2.734,1.0
2.738,1.18
2.741,1.07
2.749,1.04
2.754,1.04
2.756,0.97
2.763,1.05
2.768,1.06
2.773,1.0
2.776,1.2
2.784,1.22
2.788,1.08
2.792,1.06
2.798,1.18
2.804,1.07
2.808,1.01
2.811,1.03
2.819,1.13
2.823,1.15
2.827,1.06
2.834,1.04
2.837,1.05
2.842,1.12
2.848,1.05
2.853,1.0
2.859,0.98
2.863,0.97
2.869,0.97
2.873,1.02
2.877,1.05
2.883,1.07
2.888,1.03
2.890,1.03
2.898,1.1
2.904,1.07
2.906,1.03
2.912,1.07
2.918,1.07
2.923,1.06
2.925,1.02
2.933,1.0
2.938,1.12
2.940,1.16
2.948,1.04
2.954,0.99
2.958,1.21
2.963,1.1
2.968,1.02
2.973,1.01
2.976,1.15
2.983,1.19
2.988,1.06
2.990,1.11
2.998,1.13
3.004,1.16
3.007,1.04
3.012,0.96
3.018,1.11
3.023,0.97
3.028,1.06
3.034,1.12
3.039,1.26
3.043,1.1
3.048,1.06
3.053,1.08
3.056,1.14
3.061,1.13
3.068,1.04
3.071,1.1
3.076,0.99
3.084,1.13
3.088,1.07
3.090,1.05
3.099,1.06
3.103,1.18
3.105,1.09
3.111,1.17
3.118,1.06
3.123,1.1
3.126,1.09
3.133,1.06
3.138,1.12
3.141,1.21
3.148,1.11
3.152,1.06
3.156,1.1
3.163,1.18
3.169,1.07
3.171,1.1
3.179,1.14
3.183,1.11
3.189,1.08
3.191,1.22
3.201,1.13
3.202,1.14
3.209,1.1
3.211,1.1
3.219,1.16
3.221,1.15
3.227,1.05
3.233,1.09
3.238,1.16
3.240,1.19
3.246,1.06
3.254,0.97
3.256,1.16
3.261,1.16
3.269,1.16
3.272,1.19
3.277,1.19
3.283,1.18
3.289,1.1
3.291,1.01
3.298,1.12
3.303,1.04
3.308,1.1
3.313,1.05
3.322,1.09
3.325,1.11
3.328,1.1
3.333,1.05
3.333,1.06
3.342,1.1
3.347,1.11
3.350,1.06
3.358,1.18
3.363,1.11
3.368,1.08
3.373,1.06
3.378,1.1
3.383,1.09
3.388,1.03
3.393,1.18
3.399,1.01
3.403,1.02
3.408,1.06
3.413,0.98
3.417,1.17
3.423,1.12
3.428,1.21
3.433,1.18
3.438,1.2
3.443,1.03
3.448,1.07
3.453,1.16
3.458,1.25
3.463,1.15
3.468,1.21
3.473,1.2
3.478,1.0
3.483,1.2
3.488,1.14
3.491,1.17
3.498,1.26
3.503,1.03
3.507,1.27
3.513,1.09
3.518,1.15
3.523,1.15
3.528,1.09
3.533,1.12
3.538,1.12
3.543,1.02
3.548,1.15
3.553,1.0
3.558,1.15
3.563,1.23
3.568,1.15
3.573,1.16
3.578,1.26
3.583,1.23
3.588,1.24
3.593,1.23
3.598,1.19
3.603,1.02
3.606,1.22
3.613,1.0
3.618,1.1
3.621,1.02
3.625,1.01
3.633,1.01
3.638,1.0
3.643,1.23
3.648,1.17
3.653,1.24
3.655,1.16
3.661,1.19
