Elapsed Time (s),Value
0.001,2.06
0.006,2.06
0.011,2.05
0.016,2.04
0.021,2.05
0.026,2.06
0.031,2.05
0.036,2.06
0.041,2.05
0.046,2.05
0.051,2.05
0.056,2.06
0.061,2.06
0.066,2.05
0.071,2.05
0.076,2.05
0.081,2.05
0.086,2.06
0.091,2.05
0.096,2.02
0.101,2.05
0.106,2.05
0.111,2.05
0.116,2.05
0.121,2.05
0.126,2.05
0.131,2.03
0.136,2.05
0.141,2.05
0.146,2.05
0.151,2.05
0.156,1.73
0.161,2.05
0.166,2.05
0.171,2.05
0.176,2.05
0.181,2.05
0.186,2.05
0.191,1.37
0.196,1.38
0.201,2.05
0.206,2.06
0.211,2.05
0.216,2.06
0.221,2.06
0.226,2.06
0.231,2.05
0.236,2.05
0.241,2.06
0.246,2.05
0.251,2.05
0.256,2.06
0.261,2.06
0.266,2.04
0.271,2.06
0.276,2.06
0.281,2.05
0.286,2.06
0.291,2.05
0.296,2.06
0.301,2.05
0.306,2.06
0.311,2.06
0.316,2.05
0.321,2.06
0.326,1.99
0.331,2.05
0.336,2.06
0.341,2.06
0.346,2.05
0.351,2.06
0.356,2.05
0.361,2.06
0.366,2.05
0.371,1.63
0.376,2.06
0.381,2.05
0.386,2.06
0.391,2.06
0.396,2.06
0.401,2.06
0.406,2.06
0.411,2.06
0.416,2.05
0.421,1.38
0.426,2.03
0.431,2.05
0.436,2.06
0.441,2.06
0.446,2.06
0.451,2.05
0.456,2.05
0.461,2.05
0.466,2.05
0.471,2.05
0.476,2.06
0.481,2.05
0.486,2.05
0.491,2.06
0.496,2.05
0.501,2.06
0.506,2.06
0.511,2.06
0.516,2.06
0.521,2.05
0.526,2.05
0.531,2.05
0.536,2.05
0.541,2.03
0.546,2.05
0.551,2.06
0.555,2.06
0.561,2.05
0.565,2.05
0.571,2.06
0.575,2.06
0.581,2.05
0.585,1.54
0.591,2.06
0.595,2.05
0.601,2.05
0.605,2.06
0.611,2.06
0.616,1.96
0.621,2.05
0.626,2.06
0.631,2.05
0.636,2.06
0.641,2.06
0.645,2.05
0.650,1.65
0.655,2.05
0.660,2.06
0.665,2.06
0.671,2.06
0.675,2.05
0.681,2.05
0.685,2.05
0.691,2.05
0.695,2.05
0.701,2.04
0.706,2.05
0.711,2.05
0.716,2.04
0.720,1.96
0.725,2.05
0.730,2.05
0.735,2.05
0.740,2.06
0.745,2.05
0.750,2.05
0.755,2.05
0.760,2.06
0.765,2.06
0.770,2.05
0.775,1.99
0.780,2.05
0.785,2.06
0.790,2.06
0.795,2.05
0.800,1.3
0.805,2.06
0.810,2.06
0.815,2.05
0.820,2.05
0.825,2.0
0.830,2.05
0.836,2.06
0.840,2.06
0.845,2.05
0.851,2.06
0.855,2.06
0.860,2.06
0.865,2.06
0.870,2.05
0.875,2.06
0.880,2.05
0.885,1.46
0.890,2.06
0.895,2.05
0.900,2.05
0.905,1.33
0.910,2.06
0.915,2.04
0.920,2.06
0.925,2.06
0.930,2.05
0.935,2.05
0.940,2.06
0.945,2.05
0.950,2.06
0.955,2.06
0.960,2.06
0.965,2.05
0.970,2.06
0.975,2.06
0.980,2.05
0.985,2.06
0.990,2.02
0.995,2.06
1.000,2.06
1.005,2.06
1.010,2.03
1.015,1.99
1.020,2.05
1.025,2.06
1.030,2.05
1.035,2.06
1.040,2.06
1.045,2.05
1.051,2.05
1.055,2.05
1.060,2.06
1.065,2.05
1.071,2.06
1.076,2.06
1.080,2.05
1.086,2.05
1.090,2.06
1.095,2.06
1.100,2.05
1.105,2.06
1.111,2.05
1.115,1.37
1.120,2.03
1.125,2.06
1.130,2.05
1.135,2.06
1.140,2.01
1.145,2.06
1.151,2.05
1.156,2.06
1.160,2.06
1.165,2.05
1.171,2.05
1.175,2.06
1.180,2.05
1.185,2.05
1.190,2.05
1.195,2.06
1.201,2.05
1.205,2.02
1.210,2.06
1.215,2.05
1.220,2.05
1.225,2.06
1.230,2.04
1.235,2.04
1.240,2.06
1.245,2.06
1.250,2.05
1.255,2.06
1.260,2.06
1.265,2.05
1.270,2.06
1.275,2.06
1.280,2.05
1.285,2.05
1.290,2.06
1.295,2.06
1.300,2.05
1.305,2.05
1.310,2.06
1.315,2.04
1.320,2.06
1.325,2.05
1.330,2.05
1.335,2.05
1.340,2.06
1.345,2.05
1.350,2.05
1.355,2.06
1.360,2.06
1.365,2.05
1.370,2.05
1.375,2.05
1.380,2.05
1.385,2.05
1.390,2.05
1.395,2.06
1.400,2.05
1.405,2.06
1.410,2.06
1.415,2.05
1.420,2.05
1.425,2.04
1.430,1.78
1.435,2.04
1.440,2.02
1.445,2.06
1.450,2.04
1.455,2.03
1.460,2.05
1.465,2.04
1.470,2.04
1.476,2.05
1.480,2.04
1.485,2.04
1.490,2.05
1.495,2.04
1.500,2.04
1.505,2.04
1.510,2.06
1.515,2.04
1.520,2.04
1.525,2.05
1.530,2.04
1.535,2.04
1.540,2.05
1.545,2.06
1.550,2.04
1.555,1.93
1.560,2.05
1.565,2.04
1.570,2.05
1.575,1.38
1.580,2.05
1.585,2.05
1.590,2.06
1.595,2.06
1.600,2.05
1.605,2.05
1.610,2.04
1.615,2.05
1.620,2.05
1.625,2.04
1.630,2.05
1.635,1.98
1.640,1.58
1.645,2.06
1.650,2.05
1.655,2.05
1.660,2.05
1.665,1.99
1.670,2.05
1.675,2.06
1.680,2.05
1.685,2.05
1.690,2.06
1.695,2.06
1.700,2.05
1.705,2.05
1.710,2.06
1.715,2.05
1.720,2.05
1.725,2.05
1.730,2.05
1.735,2.05
1.740,2.06
1.745,2.06
1.750,2.05
1.755,2.05
1.760,2.06
1.765,1.97
1.770,2.06
1.775,2.05
1.780,2.05
1.785,2.05
1.790,2.06
1.795,2.06
1.800,2.05
1.805,1.36
1.810,2.05
1.815,2.05
1.820,2.06
1.825,2.06
1.830,2.04
1.835,2.05
1.840,2.06
1.845,2.06
1.850,2.04
1.855,2.05
1.860,2.06
1.865,2.05
1.870,2.06
1.875,2.05
1.880,2.05
1.885,2.05
1.890,2.05
1.895,2.06
1.900,2.05
1.905,2.05
1.910,2.06
1.915,2.05
1.920,2.06
1.925,2.05
1.930,2.05
1.935,2.05
1.940,2.06
1.945,2.06
1.950,2.05
1.955,1.41
1.960,2.05
1.965,2.05
1.970,2.06
1.975,2.05
1.980,2.05
1.985,2.05
1.990,2.06
1.995,2.06
2.000,2.05
2.005,2.06
2.010,2.05
2.015,2.06
2.020,2.06
2.025,2.06
2.030,2.05
2.035,1.45
2.040,2.03
