Elapsed Time (s),Value
0.000,0.93
0.001,0.93
0.001,0.94
0.002,0.93
0.002,0.93
0.002,0.93
0.003,0.94
0.003,0.93
0.003,0.94
0.004,0.93
0.004,0.94
0.004,0.93
0.005,0.93
0.005,0.93
0.006,0.93
0.006,0.93
0.006,0.93
0.007,0.93
0.007,0.93
0.007,0.93
0.008,0.92
0.008,0.93
0.008,0.92
0.009,0.93
0.009,0.93
0.009,0.93
0.010,0.93
0.010,0.93
0.011,0.93
0.011,0.93
0.011,0.93
0.012,0.93
0.012,0.93
0.012,0.93
0.013,0.93
0.013,0.93
0.013,0.93
0.014,0.93
0.014,0.93
0.014,0.93
0.015,0.93
0.015,0.93
0.016,0.93
0.016,0.93
0.016,0.93
0.017,0.93
0.017,0.93
0.017,0.94
0.018,0.94
0.018,0.94
0.018,0.93
0.019,0.94
0.019,0.94
0.019,0.93
0.020,0.93
0.020,0.94
0.020,0.94
0.021,0.94
0.021,0.94
0.022,0.94
0.022,0.94
0.022,0.94
0.023,0.94
0.023,0.94
0.023,0.93
0.024,0.94
0.024,0.94
0.024,0.94
0.025,0.94
0.025,0.94
0.025,0.94
0.026,0.94
0.026,0.94
0.027,0.94
0.027,0.94
0.027,0.94
0.028,0.94
0.028,0.94
0.028,0.94
0.029,0.94
0.029,0.94
0.029,0.94
0.030,0.94
0.030,0.94
0.030,0.94
0.031,0.94
0.031,0.94
0.032,0.94
0.032,0.94
0.032,0.94
0.033,0.94
0.033,0.94
0.033,0.94
0.034,0.94
0.034,0.94
0.034,0.94
0.035,0.94
0.035,0.94
0.035,0.94
0.036,0.94
0.036,0.94
0.036,0.94
0.037,0.94
0.037,0.94
0.038,0.94
0.038,0.94
0.038,0.94
0.039,0.94
0.039,0.94
0.039,0.94
0.040,0.93
0.040,0.94
0.040,0.94
0.041,0.93
0.041,0.93
0.041,0.93
0.042,0.93
0.042,0.93
0.043,0.93
0.043,0.93
0.043,0.93
0.044,0.93
0.044,0.93
0.044,0.93
0.045,0.93
0.045,0.93
0.045,0.93
0.046,0.93
0.046,0.93
0.046,0.93
0.047,0.93
0.047,0.93
0.047,0.93
0.048,0.93
0.048,0.93
0.049,0.93
0.049,0.93
0.049,0.93
0.050,0.93
0.050,0.94
0.050,0.93
0.051,0.94
0.051,0.93
0.051,0.93
0.052,0.93
0.052,0.93
0.052,0.93
0.053,0.93
0.053,0.93
0.054,0.94
0.054,0.94
0.054,0.94
0.055,0.94
0.055,0.94
0.055,0.94
0.056,0.94
0.056,0.95
0.057,0.95
0.057,0.95
0.057,0.95
0.058,0.95
0.058,0.95
0.058,0.97
0.059,0.96
0.059,0.96
0.059,0.97
0.059,0.97
0.059,0.97
0.059,0.98
0.059,0.98
0.059,0.98
0.060,0.99
0.060,0.99
0.060,1.0
0.060,1.0
0.060,1.01
0.060,1.01
0.060,1.02
0.060,1.02
0.060,1.03
0.061,1.04
0.061,1.04
0.061,1.05
0.061,1.06
0.061,1.07
0.061,1.06
0.061,1.07
0.061,1.07
0.062,1.07
0.062,1.07
0.062,1.08
0.062,1.12
0.062,1.12
0.062,1.12
0.062,1.12
0.063,1.12
0.063,1.13
0.063,1.13
0.063,1.14
0.063,1.14
0.063,1.14
0.063,1.14
0.063,1.15
0.063,1.15
0.064,1.15
0.064,1.15
0.064,1.15
0.064,1.15
0.064,1.15
0.064,1.08
0.064,1.08
0.064,1.08
0.065,1.08
0.065,1.08
0.065,1.15
0.065,1.08
0.065,1.08
0.065,1.08
0.065,1.08
0.065,1.08
0.065,1.08
0.066,1.08
0.066,1.08
0.066,1.09
0.066,1.09
0.066,1.08
0.066,1.08
0.066,1.08
0.066,1.14
0.067,1.18
0.067,1.19
0.067,1.08
0.067,1.08
0.067,1.08
0.067,1.08
0.067,1.08
0.067,1.14
0.067,1.08
0.068,1.08
0.068,1.22
0.068,1.22
0.068,1.22
0.068,1.22
0.068,1.22
0.068,1.22
0.068,1.23
0.069,1.22
0.069,1.23
0.069,1.23
0.069,1.24
0.069,1.24
0.069,1.24
0.069,1.24
0.069,1.25
0.069,1.25
0.070,1.25
0.070,1.09
0.070,1.24
0.070,1.25
0.070,1.25
0.070,1.25
0.070,1.25
0.070,1.25
0.071,1.24
0.071,1.25
0.071,1.25
0.071,1.25
0.071,1.25
0.071,1.26
0.071,1.26
0.071,1.26
0.071,1.26
0.072,1.26
0.072,1.26
0.072,1.26
0.072,1.26
0.072,1.26
0.072,1.09
0.072,1.09
0.072,1.22
0.073,1.09
0.073,1.09
0.073,1.22
0.073,1.1
0.073,1.1
0.073,1.09
0.073,1.09
0.073,1.09
0.073,1.09
0.074,1.08
0.074,1.08
0.074,1.24
0.074,1.24
0.074,1.23
0.074,1.23
0.074,1.22
0.074,1.22
0.075,1.21
0.075,1.22
0.075,1.21
0.075,1.21
0.075,1.07
0.075,1.07
0.075,1.08
0.075,1.08
0.076,1.07
0.076,1.07
0.076,1.09
0.076,1.07
0.076,1.07
0.076,1.06
0.076,1.06
0.076,1.06
0.076,1.15
0.077,1.16
0.077,1.15
0.077,1.15
0.077,1.15
0.077,1.14
0.077,1.14
0.077,1.14
0.077,1.14
0.078,1.14
0.078,1.05
0.078,1.05
0.078,1.05
0.078,1.05
0.078,1.04
0.078,1.04
0.078,1.09
0.078,1.08
0.079,1.11
0.079,1.11
0.079,1.11
0.079,1.1
0.079,1.1
0.079,1.1
0.079,1.1
0.079,1.1
0.080,1.1
0.080,1.1
0.080,1.09
0.080,1.09
0.080,1.09
0.080,1.09
0.080,1.09
0.080,1.09
0.080,1.03
0.081,1.03
0.081,1.03
0.081,1.07
0.081,1.08
0.081,1.07
0.081,1.08
0.081,1.08
0.081,1.07
0.082,1.07
