Elapsed Time (s),Value
0.000,77.0
0.001,1.78
0.001,1.77
0.001,1.76
0.002,1.77
0.002,1.77
0.003,1.76
0.003,1.7
0.003,1.71
0.004,1.71
0.004,1.72
0.004,1.71
0.005,1.72
0.005,1.72
0.006,1.75
0.006,1.67
0.006,1.76
0.007,1.76
0.007,1.77
0.007,1.74
0.008,1.75
0.008,1.76
0.008,1.74
0.009,1.74
0.009,1.75
0.010,1.75
0.010,1.73
0.010,1.75
0.011,1.75
0.011,1.74
0.011,1.75
0.012,1.75
0.012,1.75
0.012,1.74
0.013,1.75
0.014,1.73
0.014,1.75
0.015,1.75
0.015,1.47
0.016,1.68
0.016,1.73
0.016,1.75
0.017,1.73
0.017,1.72
0.017,1.75
0.018,1.71
0.018,1.71
0.018,1.68
0.019,1.7
0.019,1.7
0.020,1.7
0.020,1.71
0.020,1.72
0.021,1.74
0.021,1.73
0.021,1.71
0.022,1.71
0.022,1.74
0.022,1.73
0.023,1.71
0.023,1.74
0.023,1.73
0.024,1.74
0.024,1.74
0.025,1.71
0.025,1.71
0.025,1.7
0.026,1.7
0.026,1.73
0.026,1.73
0.027,1.71
0.027,1.7
0.027,1.72
0.028,1.72
0.028,1.73
0.029,1.72
0.029,1.72
0.029,1.74
0.030,1.73
0.030,1.68
0.030,1.66
0.031,1.69
0.031,1.7
0.031,1.68
0.032,1.69
0.032,1.68
0.032,1.7
0.033,1.73
0.033,1.72
0.034,1.71
0.034,1.71
0.034,1.72
0.035,1.72
0.035,1.72
0.035,1.72
0.036,1.72
0.036,1.73
0.036,1.73
0.037,1.74
0.037,1.74
0.038,1.74
0.038,1.73
0.038,1.72
0.039,1.71
0.039,1.73
0.039,1.71
0.040,1.74
0.040,1.71
0.040,1.73
0.041,1.73
0.041,1.72
0.041,1.69
0.042,1.68
0.042,1.69
0.043,1.7
0.043,1.72
0.043,1.74
0.044,1.74
0.044,1.74
0.044,1.49
0.045,1.74
0.045,1.74
0.045,1.75
0.046,1.74
0.046,1.75
0.047,1.75
0.047,1.71
0.047,1.73
0.048,1.76
0.048,1.76
0.048,1.76
0.049,1.74
0.049,1.74
0.049,1.74
0.050,1.75
0.050,1.72
0.051,1.75
0.051,1.76
0.051,1.76
0.052,1.74
0.052,1.77
0.052,1.77
0.053,1.67
0.053,1.74
0.053,1.77
0.054,1.71
0.054,1.77
0.054,1.77
0.055,1.76
0.055,1.73
0.056,1.76
0.056,1.75
0.056,1.76
0.057,1.76
0.057,1.75
0.057,1.75
0.058,1.77
0.058,1.76
0.058,1.77
0.059,1.77
0.059,1.77
0.060,1.77
0.060,1.76
0.060,1.75
0.061,1.72
0.061,1.74
0.061,1.76
0.062,1.75
0.062,1.76
0.062,1.73
0.063,1.73
0.063,1.75
0.064,1.76
0.064,1.76
0.064,1.77
0.065,1.77
0.065,1.77
0.065,1.77
0.066,1.77
0.066,1.77
0.066,1.78
0.067,1.74
0.067,1.72
0.067,1.77
0.068,1.76
0.068,1.77
0.069,1.77
0.069,1.74
0.069,1.76
0.070,1.72
0.070,1.72
0.070,1.73
0.071,1.73
0.071,1.73
0.071,1.73
0.072,1.76
0.072,1.74
0.072,1.76
0.073,1.73
0.073,1.71
0.074,1.71
0.074,1.72
0.074,1.75
0.075,1.7
0.075,1.75
0.075,1.73
0.076,1.71
0.076,1.74
0.076,1.73
0.077,1.73
0.077,1.72
0.078,1.71
0.078,1.75
0.078,1.77
0.079,1.7
0.079,1.75
0.079,1.73
0.080,1.76
0.080,1.71
0.080,1.71
0.081,1.72
0.081,1.77
0.081,1.74
0.082,1.74
0.082,1.76
0.083,1.76
0.083,1.76
0.083,1.78
0.084,1.78
0.084,1.74
0.084,1.73
0.085,1.77
0.085,1.71
0.085,1.71
0.086,1.76
0.086,1.77
0.087,1.77
0.087,1.77
0.087,1.78
0.088,1.78
0.088,1.78
0.088,1.78
0.089,1.76
0.089,1.78
0.089,1.76
0.090,1.73
0.090,1.72
0.090,1.73
0.091,1.72
0.091,1.59
0.092,1.73
0.092,1.76
0.092,1.75
0.093,1.75
0.093,1.76
0.093,1.77
0.094,1.75
0.094,1.77
0.094,1.77
0.095,1.77
0.095,1.76
0.095,1.77
0.096,1.74
0.096,1.71
0.097,1.68
0.097,1.68
0.097,1.74
0.098,1.75
0.098,1.74
0.098,1.76
0.099,1.74
0.099,1.74
0.100,1.51
0.100,1.71
0.100,1.7
0.101,1.67
0.101,1.66
0.101,1.74
0.102,1.74
0.102,1.74
0.102,1.75
0.103,1.74
0.103,1.74
0.103,1.73
0.103,1.74
0.103,1.73
0.103,1.74
0.104,1.75
0.104,1.74
0.104,1.74
0.104,1.73
0.104,1.7
0.104,1.74
0.104,1.69
0.104,1.74
0.105,1.72
0.105,1.74
0.105,1.72
0.105,1.74
0.105,1.74
0.105,1.74
0.105,1.75
0.105,1.74
0.105,1.74
0.106,1.73
0.106,1.74
0.106,1.73
0.106,1.72
0.106,1.72
0.106,1.73
0.106,1.72
0.106,1.71
0.107,1.71
0.107,1.71
0.107,1.7
0.107,1.67
0.107,1.72
0.107,1.73
0.107,1.68
0.107,1.72
0.108,1.73
0.108,1.73
0.108,1.71
0.108,1.72
0.108,1.71
0.108,1.7
0.108,1.67
0.108,1.67
0.108,1.71
0.109,1.71
0.109,1.67
0.109,1.71
0.109,1.73
0.109,1.72
0.109,1.7
0.109,1.69
0.109,1.72
0.110,1.72
0.110,1.71
0.110,1.67
0.110,1.67
0.110,1.72
0.110,1.67
0.110,1.64
0.110,1.71
0.111,1.7
0.111,1.67
0.111,1.67
0.111,1.7
0.111,1.7
0.111,1.69
0.111,1.69
0.111,1.71
0.112,1.71
0.112,1.71
0.112,1.71
0.112,1.71
0.112,1.71
0.112,1.66
0.112,1.68
0.112,1.71
0.112,1.72
0.113,1.71
0.113,1.72
0.113,1.66
0.113,1.7
0.113,1.65
0.113,1.7
0.113,1.66
0.113,1.71
0.114,1.68
0.114,1.68
0.114,1.66
0.114,1.73
0.114,1.68
0.114,1.68
0.114,1.67
0.114,1.72
0.115,1.69
0.115,1.72
0.115,1.7
0.115,1.71
0.115,1.7
0.115,1.69
0.115,1.72
0.115,1.71
0.115,1.72
0.116,1.67
0.116,1.67
0.116,1.7
0.116,1.66
0.116,1.69
0.116,1.71
0.116,1.72
0.116,1.72
0.117,1.67
0.117,1.73
0.117,1.73
0.117,1.72
0.117,1.65
0.117,1.72
0.117,1.7
0.117,1.73
0.117,1.73
0.118,1.72
0.118,1.74
0.118,1.7
0.118,1.71
0.118,1.72
0.118,1.68
0.118,1.67
0.118,1.67
0.119,1.66
0.119,1.73
0.119,1.71
0.119,1.73
0.119,1.72
0.119,1.74
0.119,1.7
0.119,1.73
0.120,1.74
0.120,1.71
0.120,1.7
0.120,1.71
0.120,1.71
0.120,1.73
0.120,1.73
0.120,1.69
0.120,1.73
0.121,1.74
0.121,1.73
0.121,1.72
0.121,1.73
0.121,1.74
0.121,1.74
0.121,1.74
0.121,1.73
0.122,1.74
0.122,1.72
0.122,1.68
0.122,1.68
0.122,1.67
0.122,1.67
0.122,1.65
0.122,1.65
0.123,1.68
0.123,1.69
0.123,1.67
0.123,1.69
0.123,1.69
0.123,1.63
0.123,1.69
0.123,1.74
0.123,1.73
0.124,1.73
0.124,1.73
0.124,1.73
0.124,1.74
0.124,1.74
0.124,1.72
0.124,1.68
0.124,1.68
0.125,1.65
0.125,1.65
0.125,1.66
0.125,1.67
0.125,1.75
0.125,1.71
0.125,1.73
0.125,1.73
0.125,1.73
0.126,1.72
0.126,1.74
0.126,1.65
0.126,1.74
0.126,1.73
0.126,1.75
0.126,1.74
0.126,1.67
0.127,1.68
0.127,1.69
0.127,1.68
0.127,1.74
0.127,1.71
0.127,1.74
0.127,1.72
0.127,1.7
0.128,1.7
0.128,1.71
0.128,1.69
0.128,1.7
0.128,1.68
0.128,1.74
0.128,1.75
0.128,1.71
0.128,1.73
0.129,1.66
0.129,1.74
0.129,1.66
0.129,1.65
0.129,1.66
0.129,1.66
0.129,1.65
0.129,1.74
0.130,1.75
0.130,1.75
0.130,1.75
0.130,1.74
0.130,1.76
0.130,1.75
0.130,1.77
0.130,1.75
0.130,1.75
0.131,1.74
0.131,1.79
0.131,1.77
0.131,1.79
0.131,1.78
0.131,1.77
0.131,1.77
0.131,1.77
0.132,1.78
0.132,1.76
0.132,1.69
0.132,1.77
0.132,1.72
0.132,1.78
0.132,1.76
0.132,1.78
0.133,1.73
0.133,1.7
0.133,1.69
0.133,1.7
0.133,1.7
0.133,1.75
0.133,1.77
0.133,1.73
0.133,1.77
0.134,1.76
0.134,1.76
0.134,1.76
0.134,1.67
0.134,1.72
0.134,1.68
0.134,1.77
0.134,1.77
0.135,1.63
0.135,1.67
0.135,1.65
0.135,1.73
0.135,1.73
0.135,1.74
0.135,1.65
0.135,1.67
0.135,1.67
0.136,1.68
0.136,1.65
0.136,1.66
0.136,1.72
0.136,1.7
0.136,1.67
0.136,1.71
0.136,1.73
0.137,1.79
0.137,1.78
0.137,1.78
0.137,1.77
0.137,1.77
0.137,1.78
0.137,1.79
0.137,1.75
0.138,1.76
0.138,1.76
0.138,1.75
0.138,1.77
0.138,1.76
0.138,1.79
0.138,1.78
0.138,1.78
0.138,1.77
0.139,1.79
0.139,1.78
0.139,1.75
0.139,1.76
0.139,1.78
0.139,1.77
0.139,1.77
0.139,1.77
0.140,1.76
0.140,1.78
0.140,1.76
0.140,1.76
0.140,1.77
0.140,1.68
0.140,1.77
0.140,1.77
0.140,1.79
0.141,1.79
0.141,1.77
0.141,1.78
0.141,1.79
0.141,1.79
0.141,1.8
0.141,1.78
0.141,1.79
0.142,1.79
0.142,1.76
0.142,1.75
0.142,1.78
0.142,1.79
0.142,1.79
0.142,1.79
0.142,1.78
0.143,1.79
0.143,1.77
0.143,1.78
0.143,1.77
0.143,1.79
0.143,1.78
0.143,1.79
0.143,1.8
0.143,1.79
0.144,1.77
0.144,1.77
0.144,1.8
0.144,1.8
0.144,1.76
0.144,1.79
0.144,1.79
0.144,1.78
0.145,1.75
0.145,1.75
0.145,1.79
0.145,1.77
0.145,1.77
0.145,1.77
0.145,1.77
0.145,1.77
0.145,1.76
0.146,1.74
0.146,1.77
0.146,1.76
0.146,1.75
0.146,1.76
0.146,1.77
0.146,1.77
0.147,1.76
0.147,1.78
0.147,1.74
0.147,1.75
0.147,1.75
0.147,1.74
0.147,1.78
0.147,1.78
0.148,1.76
0.148,1.75
0.148,1.73
0.148,1.73
0.148,1.72
0.148,1.69
0.148,1.7
0.148,1.7
0.148,1.74
0.149,1.74
0.149,1.76
0.149,1.65
0.151,1.63
0.156,1.68
0.161,1.65
0.166,1.66
0.171,1.65
0.176,1.68
0.181,1.68
0.186,1.67
0.191,1.66
0.196,1.64
0.201,1.7
0.206,1.7
0.211,1.61
0.216,1.68
0.221,1.7
0.226,1.64
0.231,1.69
0.236,1.67
0.241,1.67
0.246,1.7
0.251,1.67
0.256,1.67
0.261,1.67
0.266,1.58
0.271,1.65
0.276,1.64
0.281,1.66
0.286,1.67
0.291,1.58
0.296,1.58
0.301,1.62
0.306,1.65
0.311,1.67
0.316,1.66
0.321,1.67
0.326,1.66
0.331,1.65
0.336,1.59
0.341,1.65
0.346,1.67
0.351,1.67
0.356,1.67
0.361,1.68
0.366,1.65
0.371,1.61
0.376,1.68
0.381,1.66
0.386,1.68
0.391,1.65
0.396,1.61
0.401,1.7
0.406,1.69
0.411,1.66
0.416,1.69
0.421,1.71
0.426,1.7
0.431,1.71
0.436,1.69
0.441,1.69
0.446,1.71
0.452,1.64
0.456,1.59
0.462,1.65
0.467,1.67
0.471,1.71
0.477,1.7
0.482,1.72
0.487,1.72
0.492,1.68
0.497,1.7
0.502,1.71
0.507,1.73
0.512,1.71
0.517,1.71
0.522,1.73
0.527,1.74
0.532,1.64
0.537,1.71
0.542,1.72
0.547,1.73
0.552,1.72
0.557,1.68
0.562,1.69
0.567,1.75
0.572,1.71
0.577,1.75
0.582,1.73
0.587,1.76
0.592,1.74
0.597,1.73
0.602,1.74
0.607,1.75
0.612,1.64
0.617,1.59
0.622,1.65
0.627,1.7
0.632,1.76
0.637,1.76
0.642,1.74
0.647,1.74
0.652,1.72
0.657,1.76
0.662,1.71
0.667,1.75
0.672,1.75
0.677,1.73
0.682,1.76
0.687,1.77
0.692,1.64
0.697,1.72
0.702,1.7
0.707,1.71
0.712,1.69
0.717,1.69
0.722,1.66
0.727,1.71
0.732,1.66
0.737,1.69
0.742,1.7
0.747,1.69
0.752,1.68
0.757,1.72
0.762,1.66
0.767,1.69
0.772,1.61
0.777,1.57
0.782,1.61
0.787,1.59
0.792,1.61
0.797,1.65
