Elapsed Time (s),Value
0.000,1.74
0.001,1.74
0.001,1.7
0.001,1.74
0.002,1.74
0.002,1.75
0.002,1.73
0.003,1.74
0.003,1.74
0.003,1.75
0.004,1.73
0.004,1.73
0.004,1.74
0.005,1.75
0.005,1.67
0.005,1.72
0.006,1.74
0.006,1.74
0.006,1.69
0.007,1.73
0.007,1.76
0.007,1.77
0.007,1.2
0.008,1.2
0.008,1.2
0.009,1.2
0.009,1.7
0.009,1.2
0.009,1.2
0.010,1.2
0.010,1.2
0.010,1.2
0.011,1.2
0.011,1.39
0.011,1.75
0.012,1.77
0.012,1.77
0.012,1.77
0.013,1.75
0.013,1.74
0.013,1.73
0.014,1.75
0.014,1.7
0.014,1.2
0.015,1.2
0.015,1.2
0.015,1.2
0.015,1.2
0.016,1.2
0.016,1.2
0.016,1.2
0.017,1.2
0.017,1.2
0.017,1.2
0.018,1.2
0.018,1.2
0.018,1.2
0.019,1.2
0.019,1.2
0.019,1.2
0.020,1.2
0.020,1.2
0.020,1.57
0.021,1.72
0.021,1.72
0.021,1.74
0.022,1.72
0.022,1.72
0.022,1.72
0.022,1.71
0.023,1.7
0.023,1.7
0.023,1.71
0.024,1.73
0.024,1.72
0.024,1.72
0.025,1.72
0.025,1.73
0.025,1.66
0.026,1.71
0.026,1.71
0.026,1.72
0.027,1.69
0.027,1.71
0.027,1.71
0.027,1.72
0.028,1.71
0.028,1.72
0.028,1.72
0.029,1.2
0.029,1.71
0.029,1.73
0.030,1.66
0.030,1.75
0.030,1.69
0.031,1.72
0.031,1.72
0.031,1.72
0.032,1.7
0.032,1.71
0.032,1.72
0.032,1.73
0.033,1.72
0.033,1.73
0.033,1.73
0.034,1.72
0.034,1.72
0.034,1.73
0.035,1.72
0.035,1.74
0.035,1.66
0.036,1.72
0.036,1.72
0.036,1.2
0.036,1.2
0.037,1.2
0.037,1.2
0.038,1.2
0.038,1.45
0.038,1.23
0.038,1.2
0.039,1.2
0.039,1.2
0.039,1.2
0.040,1.2
0.040,1.2
0.040,1.67
0.041,1.2
0.041,1.2
0.041,1.2
0.042,1.2
0.042,1.2
0.042,1.2
0.043,1.74
0.043,1.71
0.043,1.2
0.044,1.2
0.044,1.2
0.044,1.2
0.044,1.2
0.045,1.2
0.045,1.2
0.045,1.59
0.045,1.72
0.045,1.73
0.046,1.74
0.046,1.7
0.046,1.73
0.046,1.71
0.046,1.74
0.047,1.71
0.047,1.72
0.047,1.72
0.047,1.72
0.047,1.67
0.047,1.74
0.048,1.7
0.048,1.69
0.048,1.65
0.048,1.2
0.048,1.2
0.049,1.2
0.049,1.31
0.049,1.73
0.049,1.74
0.049,1.77
0.049,1.72
0.050,1.72
0.050,1.72
0.050,1.73
0.050,1.71
0.050,1.72
0.051,1.72
0.051,1.73
0.051,1.65
0.051,1.69
0.051,1.7
0.051,1.72
0.052,1.68
0.052,1.58
0.052,1.72
0.052,1.37
0.052,1.72
0.053,1.74
0.053,1.75
0.053,1.74
0.053,1.72
0.053,1.74
0.053,1.74
0.054,1.75
0.054,1.68
0.054,1.72
0.054,1.72
0.054,1.74
0.055,1.69
0.055,1.74
0.055,1.73
0.055,1.75
0.055,1.72
0.055,1.73
0.056,1.74
0.056,1.74
0.056,1.72
0.056,1.73
0.056,1.74
0.057,1.2
0.057,1.2
0.057,1.2
0.057,1.2
0.057,1.2
0.057,1.2
0.058,1.5
0.058,1.2
0.058,1.2
0.058,1.2
0.058,1.73
0.059,1.2
0.059,1.2
0.059,1.72
0.059,1.73
0.059,1.72
0.059,1.76
0.060,1.68
0.060,1.74
0.060,1.72
0.060,1.74
0.060,1.71
0.061,1.73
0.061,1.2
0.061,1.2
0.061,1.2
0.061,1.2
0.061,1.2
0.062,1.2
0.062,1.72
0.062,1.2
0.062,1.2
0.062,1.2
0.063,1.2
0.063,1.2
0.063,1.2
0.063,1.73
0.063,1.2
0.063,1.2
0.064,1.2
0.064,1.2
0.064,1.2
0.064,1.74
0.064,1.74
0.065,1.74
0.065,1.68
0.065,1.2
0.065,1.4
0.065,1.2
0.065,1.2
0.066,1.2
0.066,1.74
0.066,1.73
0.066,1.69
0.066,1.73
0.067,1.74
0.067,1.74
0.067,1.68
0.067,1.73
0.067,1.73
0.067,1.74
0.068,1.71
0.068,1.73
0.068,1.73
0.068,1.74
0.068,1.64
0.069,1.72
0.069,1.74
0.069,1.2
0.069,1.69
0.069,1.73
0.069,1.73
0.070,1.75
0.070,1.7
0.070,1.73
0.070,1.74
0.070,1.72
0.071,1.7
0.071,1.73
0.071,1.74
0.071,1.75
0.071,1.67
0.072,1.69
0.072,1.71
0.072,1.72
0.072,1.7
0.072,1.73
0.073,1.74
0.073,1.76
0.073,1.71
0.073,1.74
0.073,1.73
0.073,1.56
0.074,1.71
0.074,1.73
0.074,1.74
0.074,1.75
0.074,1.64
0.075,1.72
0.075,1.73
0.075,1.73
0.075,1.69
0.075,1.73
0.075,1.74
0.076,1.76
0.076,1.58
0.076,1.73
0.076,1.73
0.076,1.73
0.077,1.72
0.077,1.72
0.077,1.73
0.077,1.75
0.077,1.68
0.077,1.73
0.078,1.2
0.078,1.2
0.078,1.2
0.078,1.2
0.078,1.2
0.079,1.2
0.079,1.69
0.079,1.2
0.079,1.2
0.079,1.2
0.079,1.2
0.080,1.2
0.080,1.2
0.080,1.69
0.080,1.2
0.080,1.2
0.081,1.2
0.081,1.2
0.081,1.2
0.081,1.2
0.081,1.2
0.081,1.76
0.082,1.7
0.082,1.2
0.082,1.2
0.082,1.2
0.082,1.2
0.083,1.2
0.083,1.2
0.083,1.75
0.083,1.68
0.083,1.72
0.083,1.71
0.084,1.71
0.084,1.7
0.084,1.72
0.084,1.67
0.084,1.69
0.085,1.66
0.085,1.73
0.085,1.73
0.085,1.72
0.085,1.71
0.085,1.72
0.086,1.73
0.086,1.6
0.086,1.2
0.086,1.2
0.086,1.2
0.087,1.56
0.087,1.68
0.087,1.73
0.087,1.74
0.087,1.75
0.087,1.69
0.088,1.73
0.088,1.74
0.088,1.74
0.088,1.68
0.088,1.73
0.089,1.72
0.089,1.74
0.089,1.67
0.089,1.73
0.089,1.72
0.090,1.72
0.090,1.68
0.090,1.72
0.090,1.72
0.090,1.75
0.090,1.7
0.091,1.72
0.091,1.72
0.091,1.74
0.091,1.71
0.091,1.71
0.091,1.73
0.092,1.75
0.092,1.65
0.092,1.73
0.092,1.73
0.092,1.72
0.093,1.68
0.093,1.72
0.093,1.73
0.093,1.75
0.093,1.71
0.093,1.72
0.094,1.73
0.094,1.73
0.094,1.71
0.094,1.73
0.094,1.2
0.095,1.2
0.095,1.2
0.095,1.2
0.095,1.2
0.095,1.2
0.095,1.7
0.096,1.2
0.096,1.2
0.096,1.2
0.096,1.2
0.096,1.2
0.097,1.2
0.097,1.71
0.097,1.21
0.097,1.2
0.097,1.21
0.097,1.2
0.098,1.2
0.098,1.2
0.098,1.2
0.098,1.72
0.098,1.68
0.099,1.73
0.099,1.21
0.099,1.2
0.099,1.2
0.099,1.2
0.099,1.2
0.100,1.75
0.100,1.2
0.100,1.2
0.100,1.75
0.100,1.76
0.101,1.69
0.101,1.69
0.101,1.72
0.101,1.72
0.101,1.71
0.101,1.73
0.102,1.73
0.102,1.76
0.102,1.71
0.102,1.72
0.102,1.71
0.103,1.62
0.103,1.2
0.103,1.2
0.103,1.2
0.103,1.21
0.103,1.65
0.104,1.72
0.104,1.73
0.104,1.73
0.104,1.69
0.104,1.73
0.105,1.73
0.105,1.75
0.105,1.71
0.105,1.72
0.105,1.72
0.105,1.73
0.106,1.7
0.106,1.71
0.106,1.72
0.106,1.75
0.106,1.67
0.107,1.68
0.107,1.68
0.107,1.68
0.107,1.7
0.107,1.73
0.107,1.72
0.108,1.73
0.108,1.71
0.108,1.73
0.108,1.72
0.108,1.72
0.108,1.7
0.109,1.7
0.109,1.7
0.109,1.69
0.109,1.65
0.109,1.71
0.110,1.71
0.110,1.71
0.110,1.67
0.110,1.71
0.110,1.72
0.111,1.73
0.111,1.69
0.111,1.73
0.111,1.2
0.111,1.2
0.111,1.2
0.112,1.2
0.112,1.66
0.112,1.2
0.112,1.65
0.112,1.2
0.113,1.2
0.113,1.2
0.113,1.2
0.113,1.2
0.113,1.2
0.113,1.2
0.114,1.2
0.114,1.2
0.114,1.2
0.114,1.2
0.114,1.2
0.114,1.2
0.115,1.36
0.115,1.73
0.115,1.65
0.115,1.71
0.115,1.2
0.116,1.2
0.116,1.2
0.116,1.2
0.116,1.2
0.116,1.74
0.117,1.2
0.117,1.2
0.117,1.2
0.117,1.34
0.117,1.71
0.117,1.71
0.118,1.73
0.118,1.7
0.118,1.67
0.118,1.71
0.118,1.71
0.119,1.72
0.119,1.71
0.119,1.73
0.119,1.72
0.119,1.73
0.119,1.7
0.120,1.71
0.120,1.72
0.120,1.73
0.120,1.71
0.120,1.72
0.120,1.72
0.121,1.73
0.121,1.65
0.121,1.71
0.121,1.72
0.121,1.72
0.122,1.68
0.122,1.72
0.122,1.72
0.122,1.74
0.122,1.71
0.123,1.71
0.123,1.71
0.123,1.73
0.123,1.71
0.123,1.73
0.123,1.71
0.124,1.73
0.124,1.2
0.124,1.2
0.124,1.2
0.124,1.2
0.124,1.71
0.125,1.72
0.125,1.72
0.125,1.74
0.125,1.7
0.125,1.72
0.126,1.72
0.126,1.72
0.126,1.71
0.126,1.72
0.126,1.7
0.126,1.72
0.127,1.65
0.127,1.73
0.127,1.74
0.127,1.75
0.127,1.7
0.128,1.72
0.128,1.21
0.128,1.75
0.128,1.72
0.128,1.74
0.129,1.74
0.129,1.74
0.129,1.73
0.129,1.73
0.129,1.72
0.129,1.72
0.130,1.68
0.130,1.72
0.130,1.72
0.130,1.74
0.130,1.72
0.131,1.57
0.131,1.72
0.131,1.73
0.131,1.71
0.131,1.72
0.131,1.73
0.132,1.72
0.132,1.72
0.132,1.72
