timestamp(ms),RFND[0].Dist
85731.66210120024,0.08
85831.66210120024,0.08
85931.66210120024,0.11
86031.66210120024,0.09
86131.66210120024,0.12
86231.66210120024,0.13
86331.66210120024,0.17
86431.66210120024,0.21
86531.66210120024,0.21
86631.66210120024,0.3
86731.66210120024,0.36
86831.66210120024,0.43
86931.66210120024,0.52
87031.66210120024,0.6
87131.66210120024,0.7
87231.66210120024,0.8
87331.66210120024,0.89
87431.66210120024,0.99
87531.66210120024,1.07
87631.66210120024,1.24
87731.66210120024,1.24
87831.66210120024,1.29
87931.66210120024,1.38
88031.66210120024,1.41
88131.66210120024,1.46
88231.66210120024,1.5
88331.66210120024,1.53
88431.66210120024,1.54
88531.66210120024,1.55
88631.66210120024,1.59
88731.66210120024,1.57
88831.66210120024,1.58
88931.66210120024,1.54
89031.66210120024,1.56
89131.66210120024,1.52
89231.66210120024,1.52
89331.66210120024,1.52
89431.66210120024,1.47
89531.66210120024,1.45
89631.66210120024,1.47
89731.66210120024,1.43
89831.66210120024,1.42
89931.66210120024,1.41
90031.66210120024,0.99
90131.66210120024,1.41
90231.66210120024,1.41
90331.66210120024,1.4
90431.66210120024,1.41
90531.66210120024,1.41
90631.66210120024,1.42
90731.66210120024,1.41
90831.66210120024,1.41
90931.66210120024,1.46
91031.66210120024,1.46
91131.66210120024,1.43
91231.66210120024,1.42
91331.66210120024,1.43
91431.66210120024,1.43
91531.66210120024,1.42
91631.66210120024,1.43
91731.66210120024,1.46
91831.66210120024,1.42
91931.66210120024,1.42
92031.66210120024,1.42
92131.66210120024,1.42
92231.66210120024,1.45
92331.66210120024,1.42
92431.66210120024,1.47
92531.66210120024,1.42
92631.66210120024,1.44
92731.66210120024,1.43
92831.66210120024,1.43
92931.66210120024,1.43
93031.66210120024,1.46
93131.66210120024,1.44
93231.66210120024,1.44
93331.66210120024,1.44
93431.66210120024,1.47
93531.66210120024,1.45
93631.66210120024,1.46
93731.66210120024,1.45
93831.66210120024,1.45
93931.66210120024,1.47
94031.66210120024,1.46
94131.66210120024,1.45
94231.66210120024,1.49
94331.66210120024,1.48
94431.66210120024,1.46
94531.66210120024,1.54
94631.66210120024,1.46
94731.66210120024,1.48
94831.66210120024,1.48
94931.66210120024,1.47
95031.66210120024,1.47
95131.66210120024,1.48
95231.66210120024,1.51
95331.66210120024,1.48
95431.66210120024,1.48
95531.66210120024,1.49
95631.66210120024,1.53
95731.66210120024,1.51
95831.66210120024,1.49
95931.66210120024,1.48
96031.66210120024,1.49
96131.66210120024,1.5
96231.66210120024,1.48
96331.66210120024,1.49
96431.66210120024,1.49
96531.66210120024,1.53
96631.66210120024,1.48
