timestamp(ms),RFND[0].Dist
952378.2008873929,0.08
952478.2008873929,0.11
952578.2008873929,0.15
952678.2008873929,0.2
952778.2008873929,0.24
952878.2008873929,0.31
952978.2008873929,0.38
953078.2008873929,0.45
953178.2008873929,0.54
953278.2008873929,0.62
953378.2008873929,0.72
953478.2008873929,0.79
953578.2008873929,0.86
953678.2008873929,0.98
953778.2008873929,1.01
953878.2008873929,1.05
953978.2008873929,1.12
954078.2008873929,1.14
954178.2008873929,1.16
954278.2008873929,1.2
954378.2008873929,1.18
954478.2008873929,1.19
954578.2008873929,1.18
954678.2008873929,1.16
954778.2008873929,1.14
954878.2008873929,1.13
954978.2008873929,1.1
955078.2008873929,1.06
955178.2008873929,1.04
955278.2008873929,1.01
955378.2008873929,0.98
955478.2008873929,0.95
955578.2008873929,0.92
955678.2008873929,0.91
955778.2008873929,0.87
955878.2008873929,0.86
955978.2008873929,0.84
956078.2008873929,0.82
956178.2008873929,0.81
956278.2008873929,0.79
956378.2008873929,0.77
956478.2008873929,0.77
956578.2008873929,0.75
956678.2008873929,0.74
956778.2008873929,0.73
956878.2008873929,0.72
956978.2008873929,0.71
957078.2008873929,0.7
957178.2008873929,0.67
957278.2008873929,0.66
957378.2008873929,0.64
957478.2008873929,0.61
957578.2008873929,0.59
957678.2008873929,0.57
957778.2008873929,0.55
957878.2008873929,0.53
957978.2008873929,0.51
958078.2008873929,0.48
958178.2008873929,0.47
958278.2008873929,0.46
958378.2008873929,0.44
958478.2008873929,0.43
958578.2008873929,0.9
958678.2008873929,0.51
958778.2008873929,0.41
958878.2008873929,0.42
958978.2008873929,0.46
959078.2008873929,0.41
959178.2008873929,0.41
959278.2008873929,0.83
959378.2008873929,0.4
959478.2008873929,0.4
959578.2008873929,0.4
959678.2008873929,0.4
959778.2008873929,0.4
959878.2008873929,0.42
959978.2008873929,0.37
960078.2008873929,0.43
960178.2008873929,0.4
960278.2008873929,0.38
960378.2008873929,0.39
960478.2008873929,0.4
960578.2008873929,0.39
960678.2008873929,0.39
960778.2008873929,0.39
960878.2008873929,0.44
960978.2008873929,0.38
961078.2008873929,0.38
961178.2008873929,0.4
961278.2008873929,0.39
961378.2008873929,0.39
961478.2008873929,0.39
961578.2008873929,0.4
961678.2008873929,0.38
961778.2008873929,0.38
961878.2008873929,0.38
961978.2008873929,0.39
962078.2008873929,0.4
962178.2008873929,0.4
962278.2008873929,0.4
962378.2008873929,0.38
962478.2008873929,0.38
962578.2008873929,0.38
962678.2008873929,0.38
962778.2008873929,0.43
962878.2008873929,0.4
962978.2008873929,0.39
963078.2008873929,0.39
963178.2008873929,0.42
963278.2008873929,0.41
963378.2008873929,0.41
963478.2008873929,0.43
963578.2008873929,0.45
963678.2008873929,0.45
963778.2008873929,0.44
963878.2008873929,0.45
963978.2008873929,0.48
964078.2008873929,0.54
964178.2008873929,0.49
964278.2008873929,0.52
964378.2008873929,0.53
964478.2008873929,0.53
964578.2008873929,0.55
964678.2008873929,0.63
964778.2008873929,0.55
964878.2008873929,0.57
964978.2008873929,0.6
965078.2008873929,0.59
965178.2008873929,0.61
965278.2008873929,0.61
965378.2008873929,0.64
965478.2008873929,0.59
965578.2008873929,0.61
965678.2008873929,0.62
965778.2008873929,0.61
965878.2008873929,0.61
965978.2008873929,0.63
966078.2008873929,0.65
966178.2008873929,0.61
966278.2008873929,0.62
966378.2008873929,0.6
966478.2008873929,0.62
966578.2008873929,0.62
966678.2008873929,0.62
966778.2008873929,0.65
966878.2008873929,0.63
966978.2008873929,0.63
967078.2008873929,0.65
967178.2008873929,0.62
967278.2008873929,0.64
967378.2008873929,0.68
967478.2008873929,0.64
967578.2008873929,0.66
967678.2008873929,0.65
967778.2008873929,0.66
967878.2008873929,0.64
967978.2008873929,0.66
968078.2008873929,0.65
968178.2008873929,0.66
968278.2008873929,0.66
968378.2008873929,0.68
968478.2008873929,0.7
968578.2008873929,0.71
968678.2008873929,0.73
968778.2008873929,0.75
968878.2008873929,0.75
968978.2008873929,0.77
969078.2008873929,0.78
969178.2008873929,0.8
969278.2008873929,0.82
969378.2008873929,0.82
969478.2008873929,0.86
969578.2008873929,0.86
969678.2008873929,0.87
969778.2008873929,0.91
969878.2008873929,0.92
969978.2008873929,0.91
970078.2008873929,0.93
970178.2008873929,0.95
970278.2008873929,0.95
970378.2008873929,0.95
970478.2008873929,0.97
970578.2008873929,0.99
970678.2008873929,1
970778.2008873929,1
970878.2008873929,1
970978.2008873929,1.04
971078.2008873929,1.03
971178.2008873929,1.03
971278.2008873929,1.06
971378.2008873929,1.08
971478.2008873929,1.08
971578.2008873929,1.1
971678.2008873929,1.07
971778.2008873929,1.09
