timestamp(ms),GPA[0].HAcc,GPS[0].NSats
82783.346,NaN,NaN
82883.346,0.69,21
82983.346,0.69,21
83083.346,0.69,22
83183.346,0.69,22
83283.346,0.68,20
83383.346,0.68,20
83483.346,0.68,21
83583.346,0.68,21
83683.346,0.68,21
83783.346,0.68,21
83883.346,0.68,20
83983.346,0.68,20
84083.346,0.68,21
84183.346,0.68,21
84283.346,0.68,21
84383.346,0.68,21
84483.346,0.68,21
84583.346,0.68,21
84683.346,0.68,21
84783.346,0.68,21
84883.346,0.68,22
84983.346,0.68,22
85083.346,0.68,21
85183.346,0.68,21
85283.346,0.68,22
85383.346,0.68,22
85483.346,0.68,21
85583.346,0.68,21
85683.346,0.68,20
85783.346,0.68,20
85883.346,0.68,21
85983.346,0.68,21
86083.346,0.68,20
86183.346,0.68,20
86283.346,0.68,20
86383.346,0.68,20
86483.346,0.68,22
86583.346,0.68,22
86683.346,0.68,22
86783.346,0.68,22
86883.346,0.68,21
86983.346,0.68,21
87083.346,0.68,19
87183.346,0.68,19
87283.346,0.68,21
87383.346,0.68,21
87483.346,0.68,20
87583.346,0.68,20
87683.346,0.68,21
87783.346,0.68,21
87883.346,0.68,20
87983.346,0.68,20
88083.346,0.68,22
88183.346,0.68,22
88283.346,0.68,22
88383.346,0.68,22
88483.346,0.68,22
88583.346,0.68,22
88683.346,0.67,22
88783.346,0.67,22
88883.346,0.67,22
88983.346,0.67,22
89083.346,0.67,21
89183.346,0.67,21
89283.346,0.67,21
89383.346,0.67,21
89483.346,0.67,20
89583.346,0.67,20
89683.346,0.67,21
89783.346,0.67,21
89883.346,0.67,22
89983.346,0.67,22
90083.346,0.67,22
90183.346,0.67,22
90283.346,0.67,22
90383.346,0.67,22
90483.346,0.67,22
90583.346,0.67,22
90683.346,0.67,21
90783.346,0.67,21
90883.346,0.67,21
90983.346,0.67,21
91083.346,0.67,21
91183.346,0.67,21
91283.346,0.66,21
91383.346,0.66,21
91483.346,0.66,21
91583.346,0.66,21
91683.346,0.66,20
91783.346,0.66,20
91883.346,0.66,20
91983.346,0.66,20
92083.346,0.66,20
92183.346,0.66,20
92283.346,0.66,21
92383.346,0.66,21
92483.346,0.66,20
92583.346,0.66,20
92683.346,0.66,21
92783.346,0.66,21
92883.346,0.66,22
92983.346,0.66,22
93083.346,0.66,21
93183.346,0.66,21
93283.346,0.66,21
93383.346,0.66,21
93483.346,0.66,21
93583.346,0.66,21
93683.346,0.66,20
93783.346,0.66,20
93883.346,0.66,21
93983.346,0.66,21
94083.346,0.66,22
94183.346,0.66,22
94283.346,0.66,22
94383.346,0.66,22
94483.346,0.67,22
94583.346,0.67,22
94683.346,0.67,22
94783.346,0.67,22
94883.346,0.66,20
94983.346,0.66,20
95083.346,0.65,20
95183.346,0.65,20
95283.346,0.65,21
95383.346,0.65,21
95483.346,0.65,21
95583.346,0.65,21
95683.346,0.65,20
95783.346,0.65,20
95883.346,0.65,19
95983.346,0.65,19
96083.346,0.65,19
96183.346,0.65,19
96283.346,0.65,19
96383.346,0.65,19
96483.346,0.65,21
96583.346,0.65,21
96683.346,0.65,21
96783.346,0.65,21
96883.346,0.65,20
96983.346,0.65,20
97083.346,0.65,21
97183.346,0.65,21
97283.346,0.65,21
97383.346,0.65,21
97483.346,0.65,20
97583.346,0.65,20
97683.346,0.65,20
97783.346,0.65,20
97883.346,0.65,21
97983.346,0.65,21
98083.346,0.65,21
98183.346,0.65,21
98283.346,0.65,19
98383.346,0.65,19
98483.346,0.65,20
98583.346,0.65,20
98683.346,0.65,20
98783.346,0.65,20
98883.346,0.65,21
98983.346,0.65,21
99083.346,0.65,21
99183.346,0.65,21
99283.346,0.65,21
99383.346,0.65,21
99483.346,0.65,19
99583.346,0.65,19
99683.346,0.65,19
99783.346,0.65,19
99883.346,0.65,19
99983.346,0.65,19
100083.346,0.65,21
100183.346,0.65,21
100283.346,0.65,21
100383.346,0.65,21
100483.346,0.65,19
100583.346,0.65,19
100683.346,0.65,20
100783.346,0.65,20
100883.346,0.65,21
100983.346,0.65,21
101083.346,0.65,20
101183.346,0.65,20
101283.346,0.65,19
101383.346,0.65,19
101483.346,0.65,20
101583.346,0.65,20
101683.346,0.65,21
101783.346,0.65,21
101883.346,0.65,19
101983.346,0.65,19
102083.346,0.65,19
102183.346,0.65,19
102283.346,0.65,19
102383.346,0.65,19
102483.346,0.65,20
102583.346,0.65,20
102683.346,0.65,19
102783.346,0.65,19
102883.346,0.65,18
102983.346,0.65,18
103083.346,0.65,21
103183.346,0.65,21
103283.346,0.65,20
103383.346,0.65,20
103483.346,0.65,19
103583.346,0.65,19
103683.346,0.65,20
103783.346,0.65,20
103883.346,0.65,19
103983.346,0.65,19
104083.346,0.65,19
104183.346,0.65,19
104283.346,0.65,19
104383.346,0.65,19
104483.346,0.65,20
104583.346,0.65,20
104683.346,0.65,20
104783.346,0.65,20
104883.346,0.65,21
104983.346,0.65,21
105083.346,0.65,22
105183.346,0.65,22
105283.346,0.65,21
105383.346,0.65,21
105483.346,0.65,21
105583.346,0.65,21
105683.346,0.65,20
105783.346,0.65,20
105883.346,0.65,20
105983.346,0.65,20
106083.346,0.65,21
106183.346,0.65,21
106283.346,0.65,20
106383.346,0.65,20
106483.346,0.65,20
106583.346,0.65,20
106683.346,0.65,20
106783.346,0.65,20
106883.346,0.65,20
106983.346,0.65,20
107083.346,0.65,22
107183.346,0.65,22
107283.346,0.65,21
107383.346,0.65,21
107483.346,0.65,22
107583.346,0.65,22
107683.346,0.65,22
107783.346,0.65,22
107883.346,0.65,21
107983.346,0.65,21
108083.346,0.65,21
108183.346,0.65,21
108283.346,0.65,20
108383.346,0.65,20
108483.346,0.65,20
108583.346,0.65,20
108683.346,0.64,19
108783.346,0.64,19
108883.346,0.64,21
108983.346,0.64,21
109083.346,0.64,21
109183.346,0.64,21
109283.346,0.64,21
109383.346,0.64,21
109483.346,0.64,21
109583.346,0.64,21
109683.346,0.64,20
109783.346,0.64,20
109883.346,0.64,19
109983.346,0.64,19
110083.346,0.64,20
110183.346,0.64,20
110283.346,0.64,20
110383.346,0.64,20
110483.346,0.64,21
110583.346,0.64,21
110683.346,0.64,21
110783.346,0.64,21
110883.346,0.64,20
110983.346,0.64,20
111083.346,0.64,20
111183.346,0.64,20
111283.346,0.64,21
111383.346,0.64,21
111483.346,0.64,21
111583.346,0.64,21
111683.346,0.64,21
111783.346,0.64,21
111883.346,0.64,21
