Timestamp,Average,Min,Max,Median
14:43:55,1.65,2.07,1.1,1.73
14:43:56,1.64,2.07,1.1,1.68
14:43:57,1.64,2.07,1.1,1.75
14:43:58,1.63,2.07,1.08,1.69
14:43:59,1.59,2.07,1.07,1.67
14:44:00,1.66,2.07,1.07,1.73
14:44:01,1.62,2.07,1.1,1.68
14:44:02,1.52,2.07,1.1,1.59
14:44:03,1.66,2.07,1.06,1.77
14:44:04,1.65,2.07,1.03,1.74
14:44:05,1.57,2.07,1.02,1.64
14:44:06,1.6,2.07,1.07,1.64
14:44:07,1.63,2.07,1.08,1.68
14:44:08,1.67,2.07,1.1,1.78
14:44:09,1.56,2.07,1.08,1.61
14:44:10,1.62,2.07,1.08,1.69
14:44:11,1.7,2.07,1.05,1.8
14:44:12,1.54,2.07,1.04,1.58
14:44:13,1.54,2.07,1.06,1.6
14:44:14,1.65,2.07,1.08,1.76
14:44:15,1.65,2.07,1.08,1.69
14:44:16,1.66,2.07,1.03,1.71
14:44:17,1.66,2.07,1.02,1.74
14:44:18,1.64,2.07,1.08,1.69
14:44:19,1.66,2.07,1.08,1.74
14:44:20,1.56,2.07,1.07,1.63
14:44:21,1.76,2.07,1.1,1.88
14:44:22,1.66,2.07,1.04,1.74
14:44:23,1.73,2.07,1.1,1.84
14:44:24,1.69,2.07,1.1,1.77
14:44:25,1.74,2.07,1.1,1.84
14:44:26,1.71,2.07,1.08,1.8
14:44:27,1.58,2.07,1.07,1.6
14:44:28,1.67,2.07,1.08,1.75
14:44:29,1.66,2.07,1.08,1.76
14:44:30,1.63,2.08,1.08,1.71
14:44:31,1.66,2.07,1.1,1.72
14:44:32,1.66,2.07,1.09,1.72
14:44:33,1.79,2.07,1.1,1.98
14:44:34,1.58,2.07,1.08,1.66
14:44:35,1.65,2.07,1.08,1.71
14:44:36,1.81,2.07,1.07,1.98
14:44:37,1.65,2.07,1.04,1.7
14:44:38,1.64,2.07,1.1,1.71
14:44:39,1.65,2.07,1.1,1.72
14:44:40,1.61,2.07,1.08,1.7
14:44:41,1.61,2.07,1.06,1.69
14:44:42,1.66,2.07,1.07,1.73
14:44:43,1.67,2.07,1.08,1.76
14:44:44,1.58,2.07,1.08,1.64
14:44:45,1.66,2.07,1.08,1.75
14:44:46,1.75,2.07,1.1,1.92
14:44:47,1.55,2.07,1.08,1.62
14:44:48,1.65,2.07,1.04,1.69
14:44:49,1.66,2.08,1.08,1.78
14:44:50,1.65,2.07,1.09,1.76
14:44:51,1.69,2.08,1.08,1.82
14:44:52,1.54,2.07,1.08,1.57
14:44:53,1.67,2.07,1.08,1.74
14:44:54,1.74,2.07,1.1,1.86
14:44:55,1.54,2.07,1.08,1.56
14:44:56,1.75,2.07,1.1,1.94
14:44:57,1.7,2.07,1.09,1.81
14:44:58,1.64,2.07,1.1,1.72
14:44:59,1.65,2.07,1.08,1.71
14:45:00,1.6,2.07,1.09,1.66
14:45:01,1.54,2.07,1.09,1.58
14:45:02,1.6,2.07,1.08,1.67
14:45:03,1.65,2.07,1.08,1.73
14:45:04,1.62,2.07,1.1,1.67
14:45:05,1.57,2.07,1.1,1.63
14:45:06,1.66,2.07,1.04,1.75
14:45:07,1.62,2.07,1.08,1.71
14:45:08,1.66,2.07,1.1,1.72
14:45:09,1.64,2.07,1.04,1.7
14:45:10,1.55,2.07,1.04,1.56
14:45:11,1.67,2.07,1.05,1.78
14:45:12,1.73,2.07,1.1,1.88
14:45:13,1.57,2.07,1.02,1.63
14:45:14,1.64,2.07,1.02,1.69
14:45:15,1.61,2.08,1.05,1.68
14:45:16,1.65,2.07,1.03,1.72
14:45:17,1.56,2.07,1.04,1.62
14:45:18,1.51,2.07,1.07,1.44
14:45:19,1.66,2.07,1.1,1.75
14:45:20,1.52,2.07,1.1,1.57
14:45:21,1.55,2.07,1.07,1.62
14:45:22,1.65,2.07,1.1,1.77
14:45:23,1.67,2.07,1.1,1.76
14:45:24,1.67,2.07,1.08,1.78
14:45:25,1.65,2.07,1.1,1.75
14:45:26,1.67,2.07,1.03,1.77
14:45:27,1.65,2.07,1.05,1.73
14:45:28,1.66,2.07,1.06,1.73
14:45:29,1.66,2.07,1.07,1.79
14:45:30,1.66,2.07,1.1,1.71
14:45:31,1.74,2.07,1.04,1.86
14:45:32,1.7,2.07,1.08,1.8
14:45:33,1.67,2.07,1.07,1.76
14:45:34,1.7,2.07,1.08,1.77
14:45:35,1.74,2.07,1.08,1.96
14:45:36,1.67,2.07,1.07,1.8
14:45:37,1.69,2.07,1.08,1.8
14:45:38,1.67,2.07,1.1,1.77
14:45:39,1.66,2.07,1.08,1.74
14:45:40,1.66,2.07,1.1,1.75
14:45:41,1.62,2.07,1.08,1.66
14:45:42,1.68,2.07,1.02,1.8
14:45:43,1.67,2.07,1.1,1.8
14:45:44,1.81,2.07,1.1,1.98
14:45:45,1.64,2.07,1.1,1.7
14:45:46,1.65,2.07,1.08,1.73
14:45:47,1.57,2.07,1.1,1.64
14:45:48,1.65,2.07,1.08,1.78
14:45:49,1.64,2.07,1.07,1.71
14:45:50,1.67,2.07,1.06,1.76
14:45:51,1.68,2.07,1.09,1.75
14:45:52,1.57,2.07,1.1,1.66
14:45:53,1.66,2.07,1.03,1.73
14:45:54,1.65,2.07,1.08,1.71
