Timestamp,Average,Min,Max,Median
15:26:57,1.54,2.04,1.07,1.46
15:26:58,1.55,2.04,1.07,1.47
15:26:59,1.53,2.05,1.07,1.45
15:27:00,1.56,2.05,1.05,1.51
15:27:01,1.59,2.06,1.06,1.54
15:27:02,1.58,2.04,1.06,1.55
15:27:03,1.58,2.05,1.07,1.52
15:27:04,1.6,2.05,1.07,1.55
15:27:05,1.58,2.05,1.07,1.56
15:27:06,1.58,2.05,1.07,1.54
15:27:07,1.58,2.05,1.07,1.54
15:27:08,1.58,2.04,1.06,1.53
15:27:09,1.55,2.04,1.06,1.46
15:27:10,1.82,2.07,1.05,1.99
15:27:11,1.81,2.07,1.06,1.99
15:27:12,1.81,2.07,1.08,2.02
15:27:13,1.82,2.07,1.19,2.02
15:27:14,1.81,2.07,1.29,2.01
15:27:15,1.81,2.07,1.35,2.02
15:27:16,1.81,2.07,1.11,1.98
15:27:17,1.81,2.07,1.04,1.98
15:27:18,1.82,2.08,1.08,2.0
15:27:19,1.82,2.07,1.11,2.02
15:27:20,1.82,2.07,1.14,2.01
15:27:21,1.81,2.07,1.1,2.0
15:27:22,1.82,2.07,1.11,2.02
15:27:23,1.81,2.07,1.11,2.01
15:27:24,1.82,2.07,1.22,2.02
15:27:25,1.81,2.07,1.1,2.0
15:27:26,1.82,2.07,1.29,2.01
15:27:27,1.8,2.07,1.31,2.0
15:27:28,1.82,2.07,1.27,2.02
15:27:29,1.79,2.07,1.28,1.97
15:27:30,1.8,2.07,1.11,2.02
15:27:31,1.81,2.07,1.32,2.02
15:27:32,1.81,2.07,1.09,2.01
15:27:33,1.79,2.07,1.07,1.98
15:27:34,1.82,2.07,1.25,2.01
15:27:35,1.82,2.07,1.28,2.0
15:27:36,1.81,2.07,1.06,1.97
15:27:37,1.82,2.07,1.15,2.02
15:27:38,1.82,2.08,1.08,2.01
15:27:39,1.81,2.07,1.3,1.98
15:27:40,1.81,2.08,1.06,2.01
15:27:41,1.82,2.08,1.06,2.01
15:27:42,1.8,2.08,1.06,2.0
15:27:43,1.83,2.07,1.29,2.01
15:27:44,1.81,2.07,1.13,2.01
15:27:45,1.82,2.07,1.08,2.01
15:27:46,1.81,2.07,1.1,2.0
15:27:47,1.81,2.07,1.07,2.0
15:27:48,1.8,2.07,1.09,2.02
15:27:49,1.81,2.07,1.35,2.0
15:27:50,1.82,2.07,1.34,2.01
15:27:51,1.8,2.07,1.05,1.98
15:27:52,1.81,2.07,1.06,2.0
15:27:53,1.82,2.07,1.27,2.0
15:27:54,1.81,2.07,1.25,2.0
15:27:55,1.82,2.07,1.09,2.01
15:27:56,1.81,2.07,1.06,2.01
15:27:57,1.8,2.07,1.07,1.95
15:27:58,1.81,2.07,1.07,2.01
15:27:59,1.82,2.07,1.36,2.03
15:28:00,1.79,2.07,1.08,1.99
15:28:01,1.81,2.07,1.05,1.98
15:28:02,1.81,2.07,1.09,2.02
15:28:03,1.8,2.07,1.11,2.0
15:28:04,1.8,2.08,1.09,2.01
15:28:05,1.81,2.08,1.32,2.03
15:28:06,1.78,2.07,1.09,1.99
15:28:07,1.81,2.07,1.33,1.99
15:28:08,1.79,2.07,1.23,2.01
15:28:09,1.8,2.07,1.07,1.98
15:28:10,1.79,2.07,1.05,1.99
15:28:11,1.83,2.07,1.34,2.03
15:28:12,1.81,2.08,1.34,2.01
15:28:13,1.81,2.07,1.06,2.0
15:28:14,1.82,2.07,1.14,2.01
15:28:15,1.81,2.07,1.12,2.01
15:28:16,1.81,2.07,1.07,2.0
